YEARMODA,TEMP,MAX,MIN,WDSP,MXSPD,PRCP
06/25/1990,81.3,86.7,78.6,4.6,13.6,0.04
06/26/1990,82.3,88,78.6,11.3,27.2,0.31
06/27/1990,81.3,84,78.4,16,38.9,0
06/28/1990,78.9,82.4,77,9.2,29.1,0.59
06/29/1990,82.8,86.2,77,3.6,7.8,1.06
06/30/1990,84.7,87.8,74.8,5.1,11.7,0.04
07/01/1990,85.1,90.5,80.6,3.6,7.8,0
07/02/1990,83.7,91.4,74.8,4.6,11.7,0
07/03/1990,81.2,87.8,77.7,3.6,7.8,0
07/04/1990,84.6,89.6,76.8,3.9,11.7,0.55
07/05/1990,83.4,87.1,80.1,4.5,11.7,0
07/06/1990,82.7,87.8,77.9,3.9,9.7,0
07/07/1990,83.5,89.6,77.4,4.2,5.8,0.02
07/08/1990,83.4,87.4,77.4,6.1,11.7,0.28
07/09/1990,83.5,87.8,80.2,12.5,50.5,0.01
07/10/1990,83.8,87.8,80.2,4.6,7.8,0.2
07/11/1990,84.9,91.6,78.8,4.6,9.7,0
07/12/1990,82.8,89.2,78.8,3.4,5.8,0.2
07/13/1990,85,91,78.8,3.6,9.7,0.04
07/14/1990,82.7,95.4,76.6,3.1,7.8,0.08
07/15/1990,82.4,90.1,71.6,2.9,5.8,0.16
07/16/1990,81.15,90.3,74.55,3.05,6.8,0.265
07/17/1990,79.9,90.5,77.5,3.2,7.8,0.37
07/18/1990,83.5,87.3,77.4,7.8,19.4,0
07/19/1990,81.7,87.1,73.9,4.6,17.5,0.2
07/20/1990,82.8,87.4,78.1,4.2,7.8,0.31
07/21/1990,83.6,92.3,78.8,7.3,13.6,0.04
07/22/1990,85.4,90.7,78.8,3.4,5.8,0.63
07/23/1990,84.8,89.1,80.6,7,13.6,0.16
07/24/1990,83.1,86.2,78.4,7.3,13.6,0.16
07/25/1990,79.1,81,77,9.7,27.2,2.72
07/26/1990,80.1,85.8,77,6.6,21.4,1.81
07/27/1990,78.5,82.4,75.2,6.6,13.6,1.26
07/28/1990,76.9,77.5,75.2,4.6,9.7,2.17
07/29/1990,83,88.2,80.6,4.2,9.7,0
07/30/1990,83.6,88.2,78.8,7.5,13.6,0.12
07/31/1990,84.6,89.4,80.2,7.5,13.6,0
08/01/1990,82.5,88.7,80.6,5.3,11.7,0.08
08/02/1990,84.3,88.3,80.6,10.2,13.6,0.08
08/03/1990,85.5,88.7,80.6,13.1,25.3,0
08/04/1990,84.9,89.6,81,9,25.3,0
08/05/1990,85.2,88.9,81,7.4,15.5,0.79
08/06/1990,85,91,82,2.8,5.8,0
08/07/1990,84.6,87.8,79.3,3.9,7.8,0
08/08/1990,86.3,90.7,79,7.1,15.5,0.35
08/09/1990,83.1,89.6,80.2,5.2,11.7,0.08
08/10/1990,83.6,88.9,79.2,6.1,15.5,0.39
08/11/1990,82.3,87.8,78.1,3.9,9.7,0.2
08/12/1990,80.2,82.8,77,3.9,9.7,0.12
08/13/1990,78,79.9,77,3.4,5.8,0.2
08/14/1990,80.55,83.15,77.55,3,4.85,0.395
08/15/1990,83.1,86.4,78.1,2.6,3.9,0.59
08/16/1990,82.2,87.8,78.8,6.9,9.7,0.31
08/17/1990,82.5,84.6,80.2,17.1,27.2,0
08/18/1990,83.4,85.5,79.7,26.7,35,1.57
08/19/1990,84.2,90.5,81.5,40.3,52.4,0
08/20/1990,84.8,96.8,79.2,16.5,23.3,0.1
08/21/1990,82.5,87.8,79.7,14.7,17.5,0.39
08/22/1990,81.7,85.1,79.2,13.8,17.5,0
